Date,Description,Price
2026-01-02,bought nasi lemak for breakfast,2.50
2026-01-02,bought carrots at Giant for weekly cooking,3.00
2026-01-03,teh tarik and roti canai at mamak,4.50
2026-01-03,bought a bag of onions,2.50
2026-01-04,topped up Touch n Go for LRT,20.00
2026-01-04,bought Maggi noodles and eggs at KK Mart,5.50
2026-01-05,paid room rent for January (master bedroom, shared house),400.00
2026-01-05,bought canned tuna and crackers,8.90
2026-01-06,lunch at campus cafeteria (rice + chicken + veggies),5.00
2026-01-06,bought iced Milo and curry puff,3.50
2026-01-07,photocopied journal articles at the print shop,4.00
2026-01-07,bought a used reference book from a senior,25.00
2026-01-08,bought fried rice and fried egg for dinner,6.50
2026-01-08,bought a pack of highlighters and sticky notes,7.90
2026-01-09,coffee at ZUS Coffee near campus,6.90
2026-01-09,bought a loaf of Gardenia bread,2.80
2026-01-10,petrol for my secondhand Myvi,30.00
2026-01-10,bought a box of Milo powder,9.90
2026-01-11,bought Mcdonald's fried chicken for lunch,11.90
2026-01-11,bought a 5kg bag of rice,14.50
2026-01-12,paid for laundry at self service (10kg),8.00
2026-01-12,bought curry flavored Maggi noodles,3.00
2026-01-13,lunch at Thai restaurant near campus (tom yum + rice),7.00
2026-01-13,bought a packet of instant coffee,2.50
2026-01-14,bought a new power bank from Shopee,39.90
2026-01-14,iced tea and toasted bread,4.00
2026-01-15,paid for university parking fee for the semester,50.00
2026-01-15,bought a bag of apples and oranges,8.00
2026-01-16,bought noodle soup at the night market,5.00
2026-01-16,bought a can of sardines,5.50
2026-01-17,topped up prepaid phone plan (Hotlink),35.00
2026-01-17,bought a pack of pens and an eraser,4.50
2026-01-18,ate KFC with friends (snack plate),12.90
2026-01-18,bought a bag of frozen vegetables,6.00
2026-01-19,bought shaved ice with durian after class,5.50
2026-01-19,bought a bottle of cooking oil,7.50
2026-01-20,photocopied past year exam papers,6.00
2026-01-20,bought a new mouse for my laptop,25.00
2026-01-21,lunch at Chinese economy rice shop,7.00
2026-01-21,bought a packet of Marie biscuits,3.50
2026-01-22,paid electricity bill for shared house,45.00
2026-01-22,bought a bag of potatoes,3.50
2026-01-23,bought a stuffed bread roll at a stall near the bus stop,6.00
2026-01-23,bought a box of tea bags,5.90
2026-01-24,bought a used calculator from Facebook group,35.00
2026-01-24,teh tarik and fried noodles at mamak,8.00
2026-01-25,petrol for Myvi,30.00
2026-01-25,bought a pack of instant porridge,5.50
2026-01-26,bought fried fish crackers at the night market,4.00
2026-01-26,bought a bottle of soy sauce,4.50
2026-01-27,paid for printer ink refill at the computer shop,22.00
2026-01-27,bought a bag of frozen chicken wings,12.00
2026-01-28,lunch at Subway (student promo),10.90
2026-01-28,bought a box of tissues,3.00
2026-01-29,bought a secondhand textbook from a junior,30.00
2026-01-29,bought fried noodles at mamak for dinner,7.00
2026-01-30,paid water bill for shared house,25.00
2026-01-30,bought a pack of bottled green tea,6.00
2026-01-31,bought peanut pancakes at the night market,3.50
2026-01-31,bought a bag of sugar,2.80
2026-02-01,paid room rent for February,400.00
2026-02-01,bought a bag of carrots,2.80
2026-02-02,lunch at mixed rice shop (fish + veggies),6.00
2026-02-02,bought sour plum flavored Maggi noodles,4.50
2026-02-03,iced tea and fried bananas at mamak,5.00
2026-02-03,bought a bottle of dish soap,4.00
2026-02-04,topped up LRT card,20.00
2026-02-04,bought a bag of onions and garlic,4.50
2026-02-05,paid for online assignment submission fee,5.00
2026-02-05,bought nasi lemak for breakfast,2.50
2026-02-06,bought a pack of A4 paper,9.90
2026-02-06,coffee at Starbucks (treat myself),14.50
2026-02-07,bought a used lab coat from a senior,20.00
2026-02-07,ate Pizza Hut with friends (shared),15.00
2026-02-08,bought roti canai and dal curry,3.80
2026-02-08,bought a bag of frozen mixed vegetables,5.50
2026-02-09,petrol for Myvi,30.00
2026-02-09,bought a can of Nescafe powder,9.90
2026-02-10,laundry at self service,8.00
2026-02-10,bought a box of dates for energy,12.00
2026-02-11,lunch at western food shop (chicken chop),12.00
2026-02-11,bought a padlock for gym locker,7.00
2026-02-12,bought a new USB cable,8.00
2026-02-12,teh tarik and thosai at mamak,4.50
2026-02-13,paid for printing thesis draft,12.00
2026-02-13,bought a jar of peanut butter,8.50
2026-02-14,bought grilled chicken at the night market,6.00
2026-02-14,bought a 10kg bag of rice,26.50
2026-02-15,topped up prepaid phone plan,35.00
2026-02-15,bought a packet of cream crackers,3.50
2026-02-16,paid electricity bill,48.00
2026-02-16,bought a bag of frozen french fries,5.50
2026-02-17,bought bone soup and bread,12.00
2026-02-17,bought a bottle of ketchup,4.50
2026-02-18,lunch at Vietnamese shop (pho),10.00
2026-02-18,bought a pack of highlighters,6.50
2026-02-19,bought a used novel from Big Bad Wolf sale,8.00
2026-02-19,iced tea and steamed rice cakes,3.00
2026-02-20,petrol for Myvi,30.00
2026-02-20,bought a bottle of shampoo,9.90
2026-02-21,bought stuffed pancake at mamak,7.00
2026-02-21,bought a bag of frozen cuttlefish,8.00
2026-02-22,paid for a group project binding,9.00
2026-02-22,bought a box of green tea bags,5.90
2026-02-23,ate Texas Chicken (student meal),10.90
2026-02-23,bought a pack of Post it notes,4.00
2026-02-24,bought a secondhand desk lamp from Carousell,18.00
2026-02-24,bought fried dough sticks at roadside stall,2.00
2026-02-25,laundry,8.00
2026-02-25,bought a bottle of chili sauce,4.50
2026-02-26,paid water bill,25.00
2026-02-26,bought a bag of onions,2.80
2026-02-27,lunch at Japanese shop (bento),13.50
2026-02-27,bought peanut pancakes,3.00
2026-02-28,bought a pack of rubber bands and paper clips,3.50
2026-03-01,paid room rent for March,400.00
2026-03-01,bought a bag of carrots,2.90
2026-03-02,teh tarik and roti canai at mamak,4.50
2026-03-02,bought Maggi noodles,3.00
2026-03-03,lunch at campus cafeteria (rice + fish + soup),5.50
2026-03-03,bought a bottle of 100 Plus,2.50
2026-03-04,topped up Touch n Go,20.00
2026-03-04,bought a bag of potatoes,3.80
2026-03-05,paid for an online quiz subscription,9.90
2026-03-05,bought nasi lemak with fried chicken,5.00
2026-03-06,bought a new folder and dividers,6.50
2026-03-06,coffee at Gigi Coffee,8.90
2026-03-07,bought a used dictionary,15.00
2026-03-07,ate Domino's pizza with housemates (share),18.00
2026-03-08,bought thosai and dhal,3.50
2026-03-08,bought a bag of frozen spinach,5.00
2026-03-09,petrol for Myvi,30.00
2026-03-09,bought a box of instant coffee,11.90
2026-03-10,laundry,8.00
2026-03-10,bought a pack of energy bars,10.00
2026-03-11,lunch at Malay stall (nasi kerabu),7.00
2026-03-11,bought a new phone screen protector,12.00
2026-03-12,bought a secondhand wall fan from a senior,35.00
2026-03-12,teh o and kuih lapis,3.00
